,Unnamed: 0,CityID,type,Area,GROWTH,BA2015,BA2000,BA1990,BA1975,1990常住人口,1990生产总值,1990财政收入,1990财政支出,1990全社会固定资产投资总额,1990社会消费品零售总额,1990进出口总额,1990工业总产值,1990客运量,1990货运量,1990总消费支出,1990就业人数,1990总家庭可支配收入,2000常住人口,2000生产总值,2000财政收入,2000财政支出,2000全社会固定资产投资总额,2000社会消费品零售总额,2000进出口总额,2000工业总产值,2000客运量,2000货运量,2000总消费支出,2000就业人数,2000总家庭可支配收入,2015常住人口,2015生产总值,2015财政收入,2015财政支出,2015全社会固定资产投资总额,2015社会消费品零售总额,2015进出口总额,2015工业总产值,2015客运量,2015货运量,2015总消费支出,2015就业人数,2015总家庭可支配收入
47,47,3181,4,116.0,286.67%,81.02277572,68.44798181,50.28347299,20.63305368,13.80995501,2.817357373,0.210613678,0.15598447,0.637817439,1.30086296,0.0,1.5712406819999998,182.4875613,62.80128452,205.0017785,16.85749927,248.444009,17.01453167,17.8263297,1.283471574,0.89516403,4.842318646,5.740661904,0.571724814,22.51678548,234.364205,176.9342137,618.390123,27.27481252,927.2024429,17.92048227,156.10624140000004,20.02147539,17.20775525,111.024488,48.07191911,4.017748653,381.7500943,161.630998,472.65116550000016,4017.204571,42.13909379,6002.922411
48,48,3187,4,122.0,1300.00%,78.17943186,36.29130957,33.49960457,5.5830025,14.79491641,2.559525687,0.241939523,0.136317383,0.396178352,0.999978564,0.0,3.584455099,87.70069392,56.22377095,259.7938741,18.08718819,282.1341937,15.64481161,14.36974341,1.064883357,0.584489348,4.776021797,4.987602553,0.6293580289999999,13.90131837,152.6332811,133.1702445,768.292471,25.97258412,839.8197333999997,22.09652633,177.1825743,44.32157947,38.58398098,126.106997,68.57049771,9.100332627,389.48024260000005,297.4560099,554.5672791000002,5226.15109,60.46523929999999,7935.767277
49,49,3198,0,286.0,75.82%,223.3249689,178.3660885,153.0629604,125.29707240000002,37.44941469,7.640023776,0.571135747,0.4229939270000001,1.7296138719999998,3.52764049,0.0,4.260842547,494.8642015,170.3026075,555.9175688999999,45.71365223,673.7228844,43.44753959,45.52051039,3.2774150410000003,2.285850437,12.36512619,14.65909496,1.459930662,57.49784641,598.4618487,451.81121680000007,1579.093088,69.64772936,2367.66228,47.17488483,410.9428443,52.70565719,45.29866215,292.2671026,126.5472219,10.57654739,1004.940406,425.48652410000005,1244.233495,10575.11512,110.9293191,15802.430369999998
50,50,3206,0,29.0,57.14%,15.32837398,13.93486588,13.93486588,9.75498518,4.940730128999999,0.854748031,0.080795177,0.045522893,0.132302898,0.333940665,0.0,1.197020977,29.28745582,18.77580592,86.75759873,6.040177122,94.21809983,4.737444183,4.351337621,0.322459969,0.17699066800000002,1.446238999,1.510308292,0.190577465,4.209492674,46.2192622,40.32561183,232.6485475,7.864822577000001,254.3078952,4.58272046,36.74687126,9.192096806,8.002144612,26.15402561,14.221213699999998,1.887368173,80.77645555,61.69104241,115.0147665,1083.880298,12.54021945,1645.842542
51,51,3211,3,0.45519752,127.27%,0.053855382,0.053855382,0.053855382,0.053852286,0.14772512,0.037381958,0.003456629,0.002111749,0.008664465,0.013225613,0.000909941,0.086478685,4.6464194480000005,2.077983621,2.923233333,0.132868485,2.890448749,0.147911862,0.220624788,0.016894151,0.010847494,0.073472094,0.064850395,0.00761566,0.284698501,9.699150456,2.137180463,6.723347719,0.164114386,5.840839607,0.14767208,1.628265411,0.330062092,0.292052745,1.181316207,0.499588153,0.046786457,3.906845843,11.13037918,4.011529611,36.53301272,0.234769087,58.78325064
52,52,3214,3,63.0,314.29%,40.40052631,26.46953653,19.5047719,9.752719779,8.103275302,1.401869447,0.132511905,0.07466194799999999,0.21698955,0.547694991,0.0,1.963230184,48.03426037,30.79413779,142.2908535,9.906474714,154.5267969,9.487901198,8.714627515,0.645805672,0.354467495,2.8964505330000003,3.0247651060000003,0.381678408,8.430548,92.56547967,80.76199023,465.9361351,15.75124828,509.3143244,11.36975731,91.16921089,22.80564803,19.85336941,64.88829646,35.28291760000001,4.682571906000001,200.406877,153.05585109999996,285.35233470000014,2689.113604,31.11236066,4083.345349
53,53,3218,0,38.0,550.00%,18.10421381,15.26735389,15.26735389,2.78489328,6.022743692000001,1.041936754,0.098489217,0.055492349,0.161277063,0.4070732420000001,0.0,1.459167036,35.70137109,22.88768334,105.75740159999998,7.362968166,114.8517429,5.9281642020000005,5.445012736,0.403507792,0.22147590600000008,1.809740005,1.889912621,0.238477639,5.267516157,57.83611691,50.46114303,291.1229638000001,9.84158501,318.2262212,5.945131142999999,47.67145861,11.92484278,10.38112614,33.92943417,18.44908088,2.448469507,104.7907298,80.03135707,149.2078507,1406.110315,16.26833883,2135.139998
54,54,3225,4,117.0,134.78%,75.19039792,52.73341514,45.70244511,32.02228578,13.31514855,2.7164123210000004,0.203067454,0.150395594,0.614964635,1.254253438,0.0,1.514943609,175.9490878,60.55113371,197.6566275,16.25350023,239.5423362,14.9829574,15.69782488,1.130222112,0.788279383,4.264134647,5.055213651,0.503459554,19.82822943,206.3805792,155.8078611,544.5529180999998,24.01813709,816.4923357000001,17.241055499999998,150.1877199,19.26239278,16.555350400000002,106.8151699,46.24934825,3.865422061,367.2766427,155.50301409999997,454.7313433,3864.898608,40.54145663,5775.331092
55,55,3236,3,96.0,266.67%,61.21625425,37.55874164,23.6482329,15.3301234,9.466364741,2.395471061,0.22150406,0.135322845,0.555227065,0.84750974,0.05830984400000001,5.5416355170000005,297.7469311000001,133.1591461,187.3235431,8.51433754,185.2226761,11.65493969,17.38446506,1.331200266,0.854744756,5.789345187,5.109985348,0.6000875,22.43325052,764.2592827000003,168.4023786,529.7763891,12.93164214,460.2378227,14.7906425,163.0849348,33.05858763,29.25162106,118.3190868,50.03809621,4.686070395,391.3045718,1114.804227,401.7895612,3659.098791,23.51416484,5887.65353
56,56,3244,0,167.31895380000003,93.33%,121.2114698,94.61871117,86.28155284,62.43352212,26.31808043,6.659811,0.615818408,0.376220187,1.543624289,2.356219109,0.162111137,15.40667545,827.7863672999997,370.2047419,520.7908428999998,23.67128526,514.9500806,24.88693821,37.12126527,2.842528547,1.825147148,12.36206105,10.91141551,1.281374331,47.90199989,1631.9323869999994,359.5917014,1131.2381369999996,27.61309689,982.7515685,28.35011784,312.5947449,63.36539167,56.0683489,226.7893403,95.91104134,8.982074167,750.0371078,2136.812596,770.1343202,7013.615664,45.07102002,11285.22114
